time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction
568,24,196608,84.72,345,19.558228099999997,0.8664001226425171,230,-0.04157495018589543,7.060898303985596,0.015021795,13.495509740710258,-17.263946455717086,1.0206093788146973,0.0003,0.2,0.18856201171875
587,25,204800,95.99,348,23.695744630000004,0.870490550994873,240,-0.04092122838192154,4.471513271331787,0.016161723,13.655426314473152,-17.29427792429924,1.024276852607727,0.0003,0.2,0.1890625
607,26,212992,92.12,350,23.382504639999997,0.8721818923950195,250,-0.040776201628614214,5.013979911804199,0.015747245,12.835059747099876,-17.33757119178772,1.0269814729690552,0.0003,0.2,0.1868408203125
625,27,221184,97.5,353,25.614880229999997,0.869473397731781,260,-0.041323199458565794,7.345448970794678,0.015616916,14.857509607076645,-17.365643316507338,1.030030608177185,0.0003,0.2,0.19180908203125
642,28,229376,117.08,356,31.35818847,0.8753108978271484,270,-0.044343692246911814,6.567624092102051,0.017339243,14.65798445045948,-17.38309559226036,1.0305808782577515,0.0003,0.2,0.2084716796875
659,29,237568,109.94,359,29.65479498,0.8552023768424988,280,-0.04158695584628731,8.50843620300293,0.016010107,18.63015996813774,-17.364111995697023,1.0278290510177612,0.0003,0.2,0.1806640625
676,30,245760,125.83,363,36.715222260000004,0.8767329454421997,290,-0.04572670620400458,6.786076068878174,0.018397283,14.268277582526206,-17.327206951379775,1.02592933177948,0.0003,0.2,0.21451416015625
691,31,253952,139.82,367,43.85718473,0.8816896677017212,300,-0.04591749315732159,7.068576335906982,0.019148555,14.685124278068542,-17.319518911838532,1.0244659185409546,0.0003,0.2,0.227392578125
706,32,262144,149.65,371,49.72227531000001,0.8734445571899414,310,-0.044694388161587995,7.884159088134766,0.017022451,16.857189473509788,-17.329461008310318,1.0270029306411743,0.0003,0.2,0.211962890625
721,33,270336,163.42,374,53.33835788,0.8722540140151978,320,-0.042262147458677644,10.472248077392578,0.015696129,19.167576119303703,-17.361588531732558,1.0293540954589844,0.0003,0.2,0.1934326171875
736,34,278528,171.77,378,58.904614009999996,0.8498783707618713,330,-0.04329666931735119,11.873600959777832,0.015303118,22.85520648956299,-17.359250885248183,1.0288110971450806,0.0003,0.2,0.1849609375
749,35,286720,188.46,382,67.56599505,0.8869704008102417,340,-0.0446763650070352,7.207674980163574,0.017028525,17.675289899110794,-17.337664514780045,1.0268418788909912,0.0003,0.2,0.20350341796875
761,36,294912,211.91,387,78.90326205000001,0.8607468605041504,350,-0.04301930889487267,11.48275375366211,0.016980827,21.251071918010712,-17.34910119175911,1.0278310775756836,0.0003,0.2,0.205029296875
773,37,303104,260.28,391,102.74142907,0.8755779266357422,360,-0.04529251827043481,8.676084518432617,0.018755991,18.553714287281036,-17.35198708772659,1.028054118156433,0.0003,0.2,0.23394775390625
784,38,311296,309.01,396,125.19484928000001,0.8540985584259033,370,-0.046104727756028294,6.316751003265381,0.018872667,18.282886216044425,-17.349762868881225,1.0286530256271362,0.0003,0.2,0.22315673828125
796,39,319488,336.61,401,141.39069805,0.8481206893920898,380,-0.047224086501228155,6.4214277267456055,0.02200159,14.95233445763588,-17.369480365514754,1.0297181606292725,0.0003,0.2,0.2552490234375
