time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/std,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance
180224,22,78.85,532,338,15.581579500000002,5.5003437995910645,1.0205230712890625,-17.267953914403915,0.0141328,0.0003,0.2,13.686586064100265,0.1654052734375,210,-0.03912851786590181,0.8494681119918823
188416,23,71.06,556,338,13.92503571,6.475191593170166,1.0193071365356445,-17.26067568063736,0.013589217,0.0003,0.2,15.822590783238411,0.1649169921875,220,-0.03853321597416652,0.8436620235443115
196608,24,83.95,576,340,17.91866849,6.083131313323975,1.0187171697616577,-17.255062931776045,0.014409295,0.0003,0.2,13.940929716825485,0.17025146484375,230,-0.03972165562008741,0.8610612750053406
204800,25,81.66,597,342,18.19638402,4.565699100494385,1.0187569856643677,-17.250883567333222,0.016079277,0.0003,0.2,13.995646995306014,0.18892822265625,240,-0.04120999102160568,0.8550710678100586
212992,26,88.4,617,344,20.192540730000005,5.343862533569336,1.0179270505905151,-17.240711134672164,0.015985701,0.0003,0.2,14.100263676047325,0.19095458984375,250,-0.04124072948688991,0.862599790096283
221184,27,86.75,637,346,20.68441735,5.6512603759765625,1.017151951789856,-17.238054567575453,0.018611662,0.0003,0.2,13.439905938506126,0.218212890625,260,-0.04597392391078756,0.864849328994751
229376,28,95.39,656,349,24.32905732,5.832103729248047,1.0163171291351318,-17.22639387845993,0.018631604,0.0003,0.2,11.985347819328307,0.2193359375,270,-0.04578295269893715,0.881690502166748
237568,29,92.64,676,351,24.091035070000004,4.230562686920166,1.0168930292129517,-17.228533923625946,0.019008711,0.0003,0.2,10.760474100708961,0.21708984375,280,-0.04502686930645723,0.8860105872154236
245760,30,102.55,693,354,25.104721020000007,7.907268047332764,1.0189907550811768,-17.24392173886299,0.018187389,0.0003,0.2,12.182374542951584,0.21549072265625,290,-0.044109985437535214,0.8948153257369995
253952,31,114.15,710,357,26.861623200000004,6.599813938140869,1.0177255868911743,-17.240613949298858,0.017405199,0.0003,0.2,15.133734565973281,0.207568359375,300,-0.04418328191677574,0.8624186515808105
262144,32,111.33,728,360,30.163864319999995,7.142504692077637,1.0179274082183838,-17.240425688028335,0.017729731,0.0003,0.2,15.233730188012123,0.20867919921875,310,-0.04555022627464496,0.869998037815094
270336,33,122.3,744,363,35.76767167,6.9387898445129395,1.0180555582046509,-17.23871844410896,0.018034752,0.0003,0.2,15.085475262999534,0.2042236328125,320,-0.044927009537059345,0.8810372352600098
278528,34,123.64,759,366,35.79808115,6.881209373474121,1.0164992809295654,-17.231975412368776,0.017131686,0.0003,0.2,16.233275496959685,0.1954345703125,330,-0.04239104929947644,0.869356095790863
286720,35,143.77,775,369,43.79846187000001,6.377927303314209,1.015201449394226,-17.218199062347413,0.018229466,0.0003,0.2,14.43880315721035,0.204931640625,340,-0.04411218584064045,0.8814278841018677
294912,36,157.08,789,373,51.82834225,7.320136070251465,1.018143653869629,-17.231526547670363,0.019505281,0.0003,0.2,16.212519109249115,0.221337890625,350,-0.04492745951138204,0.8626626133918762
303104,37,181.68,803,377,64.75741507,7.913430213928223,1.017704725265503,-17.23528417944908,0.017128833,0.0003,0.2,18.51312787234783,0.2017822265625,360,-0.043780296660406746,0.8681866526603699
311296,38,195.01,815,381,71.2890689,5.301407814025879,1.01606023311615,-17.218446815013884,0.020576445,0.0003,0.2,13.75382142663002,0.24078369140625,370,-0.04757901261909865,0.8915531039237976
319488,39,236.45,826,386,87.80442879000002,8.357333183288574,1.0176148414611816,-17.22844529747963,0.019661289,0.0003,0.2,16.09878436923027,0.2285400390625,380,-0.04620485177292721,0.8818457126617432
327680,40,262.21,838,390,96.08642674999999,6.596279621124268,1.0203654766082764,-17.259727066755296,0.022593778,0.0003,0.2,13.166935032606125,0.25264892578125,390,-0.04698902031304897,0.863551914691925
335872,41,297.73,850,395,112.70861926999999,9.091261863708496,1.0207504034042358,-17.26640322804451,0.018641561,0.0003,0.2,19.183479586243628,0.23548583984375,400,-0.04691110234707594,0.8543360233306885
344064,42,336.63,861,399,130.32084612,6.230944633483887,1.0213736295700073,-17.271468591690063,0.017914249,0.0003,0.2,15.581061148643494,0.21031494140625,410,-0.04392869248840725,0.8673587441444397
352256,43,358.53,872,403,145.51638976,8.447084426879883,1.0233399868011475,-17.290931344032288,0.016861487,0.0003,0.2,20.05907880961895,0.20430908203125,420,-0.04338740597086144,0.8626652359962463
360448,44,376.08,882,408,154.34190388,5.845753192901611,1.0238734483718872,-17.30567037463188,0.022822453,0.0003,0.2,12.999027237296104,0.258447265625,430,-0.04850052866604528,0.8666990995407104
368640,45,416.84,894,412,177.56251544000003,8.909000396728516,1.025320291519165,-17.32031841278076,0.01822218,0.0003,0.2,17.64080186188221,0.22100830078125,440,-0.041562817477097266,0.8576043844223022
376832,46,443.92,904,416,190.78910223999995,7.813512325286865,1.0253909826278687,-17.323246562480925,0.02040923,0.0003,0.2,18.083834099769593,0.23392333984375,450,-0.04474295253166929,0.8640714883804321
385024,47,472.52,915,420,209.79784010000006,5.256443500518799,1.0254713296890259,-17.322979706525803,0.020414393,0.0003,0.2,16.396566039323808,0.25220947265625,460,-0.046500217761786186,0.8416751027107239
393216,48,524.29,925,424,239.01707362000002,6.22105598449707,1.0281466245651245,-17.340115374326707,0.01902932,0.0003,0.2,18.15936813056469,0.22647705078125,470,-0.04470971429836936,0.8774254322052002
401408,49,528.88,935,429,243.89850859999999,5.71204137802124,1.0270347595214844,-17.348016238212587,0.027423466,0.0003,0.2,12.447333516180516,0.295654296875,480,-0.048645905969897284,0.7324917316436768
409600,50,559.12,945,433,260.66193454,10.382254600524902,1.0307807922363281,-17.373956048488616,0.019274168,0.0003,0.2,16.586547201871873,0.2251220703125,490,-0.04276257296733092,0.8612317442893982
417792,51,583.88,955,437,279.01413885,3.917357921600342,1.0323079824447632,-17.40048841238022,0.026450366,0.0003,0.2,10.215289290249348,0.29580078125,500,-0.0466628150534234,0.834071159362793
425984,52,638.15,966,440,313.5402962200001,4.3828535079956055,1.0322438478469849,-17.40641271471977,0.025042197,0.0003,0.2,8.593666559457779,0.29249267578125,510,-0.04744025371765019,0.8866815567016602
434176,53,662.32,976,444,332.37081636000005,4.024496078491211,1.0333186388015747,-17.41060572862625,0.02399463,0.0003,0.2,9.210504671931266,0.28221435546875,520,-0.03988942320283968,0.792619526386261
442368,54,694.06,987,447,355.87276261,2.197735548019409,1.0355693101882935,-17.43044308423996,0.0276655,0.0003,0.2,7.502930967509746,0.30386962890625,530,-0.04556779047125019,0.8153700232505798
450560,55,720.37,997,451,377.09876459,2.5356321334838867,1.0373858213424683,-17.45663166642189,0.025555339,0.0003,0.2,6.253488218784332,0.2743896484375,540,-0.04583744091942208,0.8506748676300049
458752,56,741.27,1008,455,393.0025916699999,3.711822509765625,1.0374208688735962,-17.46258397102356,0.025414702,0.0003,0.2,7.988128352165222,0.2701904296875,550,-0.0415162471079384,0.8042672276496887
466944,57,780.41,1018,458,419.26447671,3.3917717933654785,1.038907527923584,-17.47970069050789,0.024848798,0.0003,0.2,7.7218010105192665,0.27669677734375,560,-0.038552014563902046,0.8274465799331665
475136,58,793.21,1028,461,432.56667953,1.3580632209777832,1.0417979955673218,-17.49954605102539,0.04105282,0.0003,0.2,3.85944624915719,0.4056640625,570,-0.04931780198676279,0.80507493019104
483328,59,821.66,1038,465,456.58351199000003,2.859140634536743,1.0430880784988403,-17.522458225488663,0.016987028,0.0003,0.2,7.579200978577137,0.211181640625,580,-0.03554322103664163,0.8716926574707031
491520,60,820.96,1049,468,462.8227914699999,3.702453374862671,1.0405668020248413,-17.51185245513916,0.01868942,0.0003,0.2,7.982587293535471,0.2298095703125,590,-0.038627606108639155,0.8524289727210999
499712,61,819.23,1059,471,468.05884127999997,3.0354766845703125,1.0417773723602295,-17.50776102542877,0.019862998,0.0003,0.2,7.862943662703037,0.22276611328125,600,-0.039694302911811974,0.8452872037887573
507904,62,810.3,1070,474,469.37342320000005,3.712648630142212,1.0429810285568237,-17.52533679008484,0.018263424,0.0003,0.2,8.667363280057907,0.2188232421875,610,-0.03799785214796429,0.8901280164718628
516096,63,817.2,1080,477,479.55179913999996,6.715274810791016,1.0415351390838623,-17.517871415615083,0.015722586,0.0003,0.2,11.713691721856595,0.19530029296875,620,-0.03738650959130609,0.8837635517120361
524288,64,842.21,1090,480,499.07670644999996,2.301701784133911,1.0423403978347778,-17.51444326043129,0.032675005,0.0003,0.2,6.497748167812825,0.30621337890625,630,-0.03811200017808005,0.8104441165924072
532480,65,843.83,1100,483,504.12560802,1.5810191631317139,1.0437008142471313,-17.53052191734314,0.043029323,0.0003,0.2,3.5516681030392645,0.43809814453125,640,-0.05250580166975851,0.38119786977767944
540672,66,844.36,1111,486,511.06860918999996,1.2976512908935547,1.0477299690246582,-17.572501993179323,0.033962913,0.0003,0.2,3.5455955527722836,0.36153564453125,650,-0.04602867050925852,0.8264942169189453
548864,67,854.55,1121,489,522.32256176,1.8640332221984863,1.0490115880966187,-17.596429580450057,0.018930176,0.0003,0.2,5.625942295044661,0.21602783203125,660,-0.03735831433950807,0.8463430404663086
557056,68,863.03,1131,492,533.24510774,2.4032554626464844,1.05037260055542,-17.6097731590271,0.02723917,0.0003,0.2,5.3181903004646305,0.30076904296875,670,-0.04127893027180107,0.7627100944519043
565248,69,869.92,1141,495,542.2083022599999,1.6619114875793457,1.0507768392562866,-17.61683965921402,0.025929242,0.0003,0.2,4.412930636107921,0.2736572265625,680,-0.037996255329926495,0.8473487496376038
573440,70,880.85,1151,497,552.12567082,1.9983183145523071,1.0552200078964233,-17.649145072698595,0.023905803,0.0003,0.2,6.411249794065952,0.26793212890625,690,-0.035609713838493914,0.7968385219573975
581632,71,885.55,1162,500,559.89398955,1.558447003364563,1.0596336126327515,-17.700853562355043,0.032072153,0.0003,0.2,3.8074191957712173,0.31495361328125,700,-0.039195028714311776,0.7312107086181641
589824,72,870.56,1172,502,553.7954376299999,2.0912680625915527,1.0602558851242065,-17.72700607776642,0.016887376,0.0003,0.2,6.204337956756353,0.20191650390625,710,-0.035739576825289984,0.8742812871932983
598016,73,890.86,1182,505,570.74000999,5.523388862609863,1.0621944665908813,-17.735723596811294,0.011190098,0.0003,0.2,13.99220719486475,0.12706298828125,720,-0.028630700263602194,0.8840929269790649
