time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
229376,31.840339949999997,633,112.14,361,28,-0.045374224659462926,270,0.2,0.2197265625,0.8838087916374207,0.0003,14.400595176219941,0.018545048,1.0108543634414673,-17.148417514562606,6.913844585418701
237568,33.52397545,651,120.26,364,29,-0.044481418448413024,280,0.2,0.20836181640625,0.8828554749488831,0.0003,13.868963652849198,0.01706903,1.0096663236618042,-17.14792206287384,6.507401466369629
245760,38.981698789999996,668,127.42,367,30,-0.04315327774529578,290,0.2,0.196923828125,0.8661690354347229,0.0003,18.679364442825317,0.016506057,1.0089997053146362,-17.133464151620863,7.735611915588379
253952,44.83245082999999,683,135.41,371,31,-0.044063000484675284,300,0.2,0.20250244140625,0.8685687780380249,0.0003,17.67781143784523,0.016465198,1.0068364143371582,-17.116222858428955,8.461769104003906
262144,52.38047736000001,699,156.17,374,32,-0.04691619898949284,310,0.2,0.21854248046875,0.8792717456817627,0.0003,16.23606028854847,0.018013544,1.0059880018234253,-17.09541779756546,6.926733493804932
270336,56.87122276000001,713,160.24,378,33,-0.045950663358962626,320,0.2,0.2168212890625,0.870590090751648,0.0003,18.8094030469656,0.017835842,1.0052814483642578,-17.089524203538893,8.289548873901367
278528,64.64545218,727,173.31,382,34,-0.043113210495721435,330,0.2,0.2150146484375,0.8851475715637207,0.0003,17.21770778298378,0.01819202,1.0076981782913208,-17.104308241605757,7.28162956237793
286720,75.86052108999999,741,204.68,386,35,-0.04465222475701012,340,0.2,0.2147705078125,0.8807657361030579,0.0003,18.635551902651788,0.017544698,1.0106313228607178,-17.1403489947319,6.003867149353027
294912,73.98507991999999,756,207.36,389,36,-0.044399968726793304,350,0.2,0.21552734375,0.8823092579841614,0.0003,18.084895315766335,0.018189179,1.0131767988204956,-17.170026969909667,7.446265697479248
303104,88.40502249000001,767,239.35,394,37,-0.04468687057378702,360,0.2,0.22401123046875,0.875124454498291,0.0003,23.799030762910842,0.01801359,1.0129948854446411,-17.177312511205674,10.025845527648926
311296,108.60368615000002,779,283.64,399,38,-0.044011990110448096,370,0.2,0.22330322265625,0.8451586365699768,0.0003,18.981428718566896,0.018802226,1.0121384859085083,-17.168440926074982,7.580132961273193
319488,125.20362633,790,311.24,404,39,-0.04466511260980042,380,0.2,0.22139892578125,0.8509408831596375,0.0003,15.997529166936875,0.018932283,1.0091753005981445,-17.145347517728805,5.854823112487793
327680,143.37202787,801,345.69,408,40,-0.04341471168227144,390,0.2,0.20806884765625,0.8798654079437256,0.0003,20.877466762065886,0.01601539,1.0115827322006226,-17.15306776165962,7.888906955718994
335872,168.60721932999996,812,395.28,413,41,-0.04336551262967987,400,0.2,0.21517333984375,0.8944223523139954,0.0003,17.284255674481393,0.019017879,1.0159982442855835,-17.198371148109437,6.874505043029785
