time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
136,77.06,16.34321851,1258,172032,21,-0.04023585507238749,-17.241560232639312,0.17333984375,0.015046176,13.077501973509788,4.640387535095215,1.018639087677002,200,0.0003,0.2,0.8552508354187012
138,79.01,16.00087196,1297,180224,22,-0.04012158705663751,-17.254314494132995,0.1741943359375,0.01489567,12.981864339113235,5.456629276275635,1.0186779499053955,210,0.0003,0.2,0.8605799674987793
141,83.26,19.768871790000002,1335,188416,23,-0.04090724688576301,-17.239805924892426,0.1877685546875,0.0152471,12.939673244953156,5.67044734954834,1.0175715684890747,220,0.0003,0.2,0.8591406941413879
141,92.35,19.86439188,1388,196608,24,-0.042224779337993824,-17.24193434715271,0.1821533203125,0.01593304,12.263788767158985,6.013991832733154,1.0186036825180054,230,0.0003,0.2,0.8702266216278076
141,92.66,21.773648939999998,1446,204800,25,-0.04141548570914892,-17.256884849071504,0.18836669921875,0.01545147,13.146859419345855,6.485537052154541,1.019830346107483,240,0.0003,0.2,0.8610186576843262
141,103.7,27.52587001,1503,212992,26,-0.0416981584392488,-17.253394174575806,0.1859130859375,0.015521465,13.643417105078697,5.1520185470581055,1.0189987421035767,250,0.0003,0.2,0.8680074214935303
141,106.52,28.27964781,1560,221184,27,-0.043504949696944094,-17.233837008476257,0.1906494140625,0.01658132,14.410642671585084,6.765299320220947,1.0169355869293213,260,0.0003,0.2,0.8679822087287903
141,105.49,29.685951369999998,1617,229376,28,-0.042399786369060166,-17.240860217809676,0.18795166015625,0.015436992,15.0802972137928,8.394291877746582,1.0192924737930298,270,0.0003,0.2,0.8688772916793823
142,113.25,32.4549796,1666,237568,29,-0.0417677076322434,-17.252766984701157,0.191552734375,0.01630235,15.234327340126038,6.10861349105835,1.0192853212356567,280,0.0003,0.2,0.8765716552734375
142,113.72,31.89010272,1721,245760,30,-0.04218446965533076,-17.24624538421631,0.197314453125,0.016518299,15.765467762947083,8.806876182556152,1.0181089639663696,290,0.0003,0.2,0.8731873035430908
