time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance
17,139264,12.361828500000001,403,344,74.09,0.0003,160,0.154541015625,-17.31319597363472,1.024563193321228,0.013606256,14.590521574020386,0.2,-0.03900242048694054,8.045459747314453,0.8135248422622681
18,147456,11.27479437,426,345,68.31,0.0003,170,0.16544189453125,-17.314906561374663,1.0242999792099,0.01450821,13.339057824015617,0.2,-0.03955015613610158,6.442593574523926,0.8284834623336792
19,155648,13.678603359999997,448,346,73.57,0.0003,180,0.1747314453125,-17.318755358457565,1.025147557258606,0.014236084,14.068743488192558,0.2,-0.03857873360539088,6.928783893585205,0.8251863121986389
20,163840,16.59731146,470,348,76.2,0.0003,190,0.176416015625,-17.34258654117584,1.027228832244873,0.015928328,12.575360710918904,0.2,-0.0420768280790071,6.1030683517456055,0.8436110615730286
21,172032,15.912973290000002,490,350,84.31,0.0003,200,0.19437255859375,-17.335609883069992,1.0258880853652954,0.016809914,10.943263071775437,0.2,-0.04358587582973996,3.725680351257324,0.8678230047225952
22,180224,18.17594794,510,352,84.88,0.0003,210,0.18468017578125,-17.328637111186982,1.0264768600463867,0.01577177,12.808993545174598,0.2,-0.041911725103273054,5.803701877593994,0.849315881729126
23,188416,17.90754953,531,354,85.02,0.0003,220,0.1884521484375,-17.34511171579361,1.0278124809265137,0.0153768975,13.605935263633729,0.2,-0.04042600124521414,6.154971122741699,0.859951913356781
24,196608,20.6879201,550,356,90.34,0.0003,230,0.182080078125,-17.368340158462523,1.0302637815475464,0.015861355,13.750889644026756,0.2,-0.04185791456911829,5.2403564453125,0.8616094589233398
25,204800,22.478045909999995,570,358,88.92,0.0003,240,0.189404296875,-17.40038773417473,1.0325499773025513,0.01622148,14.207560151815414,0.2,-0.04206286996341078,5.213382720947266,0.8634853959083557
26,212992,22.309310359999998,590,360,92.07,0.0003,250,0.20101318359375,-17.40081490278244,1.0318390130996704,0.01679494,13.83762983083725,0.2,-0.0436904068410513,10.042572021484375,0.8746321797370911
27,221184,22.22297604,609,362,90.73,0.0003,260,0.19847412109375,-17.405277806520463,1.032274603843689,0.01713834,15.799937990307807,0.2,-0.04407612475188216,6.897151470184326,0.8619984984397888
28,229376,26.678911969999994,627,365,97.52,0.0003,270,0.19774169921875,-17.398193204402922,1.032179832458496,0.016449995,14.781312224268913,0.2,-0.04446730011841282,7.683777809143066,0.8738992214202881
29,237568,30.250007440000008,644,368,114.19,0.0003,280,0.2054443359375,-17.393011224269866,1.0312262773513794,0.017193375,15.293105345964431,0.2,-0.0436240587325301,7.089250087738037,0.8674036860466003
30,245760,30.127801019999996,661,371,116.95,0.0003,290,0.20157470703125,-17.40182870030403,1.0329434871673584,0.017175127,17.471171680092812,0.2,-0.04472716888267314,9.515104293823242,0.8579047322273254
31,253952,37.06951960000001,677,374,127.38,0.0003,300,0.2033447265625,-17.422683250904083,1.0347758531570435,0.016933497,17.25141133964062,0.2,-0.045253868415602486,6.930922031402588,0.8682165741920471
