time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/std,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
396,319488,207.61,805,77.26070518,39,0.8845776319503784,380,1.0268644094467163,20.23198132812977,7.959249496459961,0.01687832,0.0003,-17.33099083304405,-0.043180315691279246,0.20020751953125,0.2
401,327680,247.37,816,94.90381624000001,40,0.8889567852020264,390,1.025391697883606,16.93311219215393,8.86917781829834,0.019796364,0.0003,-17.32481092810631,-0.0459993090655189,0.22752685546875,0.2
405,335872,273.98,828,107.55057191999998,41,0.8528368473052979,400,1.0295660495758057,19.654055839776994,9.979976654052734,0.018007621,0.0003,-17.36459602713585,-0.04283155933080707,0.21668701171875,0.2
410,344064,336.66,838,137.00458479,42,0.8796786665916443,410,1.0287052392959595,17.647523134946823,7.476714134216309,0.019182377,0.0003,-17.362461358308792,-0.045208167351665905,0.227001953125,0.2
414,352256,384.61,849,160.76900232,43,0.8437017202377319,420,1.027919054031372,16.873916944861413,5.921867370605469,0.02121203,0.0003,-17.353594493865966,-0.047989675782446284,0.25560302734375,0.2
419,360448,430.68,860,185.52670444,44,0.8525983691215515,430,1.0295380353927612,15.350360134243966,7.3937273025512695,0.02060828,0.0003,-17.369450932741167,-0.04592354605192668,0.23994140625,0.2
423,368640,438.11,870,192.01596603000002,45,0.8680796027183533,440,1.0295575857162476,16.29378535449505,7.2251715660095215,0.02165501,0.0003,-17.365501594543456,-0.04687282170198159,0.2595947265625,0.2
427,376832,476.79,881,215.59422864000004,46,0.8853224515914917,450,1.0312724113464355,17.494518285989763,8.137764930725098,0.020373065,0.0003,-17.38644722700119,-0.044828791196778184,0.2432861328125,0.2
431,385024,524.24,892,243.87304481000004,47,0.876185953617096,460,1.030544400215149,12.967700397968292,7.368499279022217,0.022938669,0.0003,-17.383509314060213,-0.04634521179104922,0.2647216796875,0.2
435,393216,568.48,902,272.23125471000003,48,0.8595689535140991,470,1.0308722257614136,14.807197859883308,6.111357688903809,0.02227636,0.0003,-17.38145492076874,-0.0451504993456183,0.2635009765625,0.2
439,401408,590.7,912,289.37496132,49,0.821473240852356,480,1.0325816869735718,8.42962499409914,2.880962610244751,0.030032523,0.0003,-17.408898454904556,-0.047558128160017074,0.3373779296875,0.2
443,409600,621.13,923,309.34052666,50,0.7749020457267761,490,1.032967448234558,7.098875343799591,2.414677619934082,0.032112192,0.0003,-17.41063874363899,-0.048997983069421026,0.34176025390625,0.2
447,417792,639.3,933,325.02379867999997,51,0.8750367760658264,500,1.031365990638733,8.562624849379063,3.3897652626037598,0.02128484,0.0003,-17.397502535581587,-0.04281662712819525,0.24635009765625,0.2
451,425984,660.34,943,340.80864886999996,52,0.8108215928077698,510,1.0321393013000488,8.50826982408762,3.665825366973877,0.020581346,0.0003,-17.403182089328766,-0.039409586490364745,0.24432373046875,0.2
454,434176,688.71,954,363.78064374,53,0.8864666819572449,520,1.0328134298324585,9.46559349000454,2.98537278175354,0.019676233,0.0003,-17.406774079799654,-0.040360554377548395,0.23455810546875,0.2
458,442368,736.13,964,392.98461957000006,54,0.8342653512954712,530,1.0345869064331055,9.699049103260041,4.868462562561035,0.02120621,0.0003,-17.41718134880066,-0.04166880004631821,0.24471435546875,0.2
461,450560,772.98,975,420.9627782999999,55,0.7944336533546448,540,1.0341075658798218,8.660792911797762,2.059450387954712,0.028227039,0.0003,-17.424713408946992,-0.04104097213348723,0.2972900390625,0.2
465,458752,766.3,985,420.07086067000006,56,0.8474453091621399,550,1.0351684093475342,7.08219039440155,2.608596086502075,0.025746401,0.0003,-17.42857282757759,-0.041585119733645114,0.29400634765625,0.2
468,466944,772.19,996,427.7503229799999,57,0.88362717628479,560,1.0367066860198975,8.97910600155592,3.2806594371795654,0.019046525,0.0003,-17.45225293636322,-0.03887429353344487,0.23238525390625,0.2
472,475136,777.46,1006,436.20127592999995,58,0.8806958198547363,570,1.0377713441848755,14.017631329596043,9.719280242919922,0.016938603,0.0003,-17.46367483139038,-0.03587676772658597,0.20234375,0.2
475,483328,782.86,1016,443.87254971999994,59,0.8680464625358582,580,1.0409396886825562,10.396297891438007,3.1804428100585938,0.020015033,0.0003,-17.48750085234642,-0.03888007527857553,0.23643798828125,0.2
478,491520,774.52,1027,443.30496585000003,60,0.7452126145362854,590,1.0457178354263306,5.966725286841393,4.50405216217041,0.03456721,0.0003,-17.539610111713408,-0.047093307416071185,0.35733642578125,0.2
481,499712,792.16,1037,459.30530655,61,0.8926485776901245,600,1.0492030382156372,11.968097902834415,4.830327033996582,0.017146349,0.0003,-17.58333327770233,-0.03790464558114763,0.19993896484375,0.2
484,507904,792.8,1047,462.35636349,62,0.8840653300285339,610,1.0505200624465942,8.573055754601956,4.951455116271973,0.020350654,0.0003,-17.605372178554536,-0.03821778777928557,0.2604248046875,0.2
487,516096,794.12,1057,465.23284010000003,63,0.8961347341537476,620,1.052513599395752,7.529526294022799,3.883310317993164,0.022524359,0.0003,-17.6253169298172,-0.04239309254480759,0.26083984375,0.2
