time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/value_loss,train/std
736,194.57,378,278528,67.274294,34,0.8965442776679993,0.2,0.0003,-17.310923570394515,0.018257918,0.22205810546875,330,-0.04503832948466879,6.531018257141113,14.02254477441311,1.024513840675354
749,210.0,382,286720,74.05605002000001,35,0.8768842816352844,0.2,0.0003,-17.307191240787507,0.01783768,0.21536865234375,340,-0.045685057375521865,6.612029075622559,15.218994826078415,1.0245566368103027
761,237.06,387,294912,85.32302134,36,0.8754719495773315,0.2,0.0003,-17.315969640016554,0.016235687,0.1927978515625,350,-0.041862498113550826,7.834054946899414,19.76270038187504,1.0247780084609985
773,239.32,391,303104,89.84097005,37,0.8652605414390564,0.2,0.0003,-17.29970493912697,0.017844517,0.21192626953125,360,-0.044287815273855814,6.582733154296875,18.765482646226882,1.0235780477523804
785,270.06,396,311296,105.38613164,38,0.887097954750061,0.2,0.0003,-17.287185895442963,0.018582914,0.22847900390625,370,-0.04757289436965948,7.210009574890137,16.681951329112053,1.0223579406738281
796,304.13,400,319488,118.86953553,39,0.8798620104789734,0.2,0.0003,-17.297197663784026,0.021820724,0.25057373046875,380,-0.045314204751048234,6.537398815155029,15.260023656487466,1.024307131767273
808,327.35,405,327680,127.72853531999999,40,0.8409076929092407,0.2,0.0003,-17.326379120349884,0.01774125,0.1972412109375,390,-0.03985710850756732,12.864761352539062,22.90402910411358,1.0269845724105835
818,378.06,410,335872,151.21860713,41,0.8714765310287476,0.2,0.0003,-17.334942197799684,0.023084134,0.25989990234375,400,-0.047487444439320826,6.335733890533447,14.73817082941532,1.0271445512771606
829,402.33,414,344064,163.22248334,42,0.8465134501457214,0.2,0.0003,-17.36520498394966,0.021009749,0.24051513671875,410,-0.04495679812680464,7.174287796020508,16.161207246780396,1.0297554731369019
840,408.71,419,352256,168.74189410999995,43,0.8768028020858765,0.2,0.0003,-17.379163211584093,0.020014256,0.2321044921875,420,-0.04404763984348392,7.064420223236084,16.903666898608208,1.0310972929000854
850,459.19,423,360448,197.09799532999997,44,0.9138847589492798,0.2,0.0003,-17.38910471200943,0.020077676,0.24014892578125,430,-0.047615566002059496,5.586354732513428,14.007293313741684,1.0315637588500977
861,492.21,428,368640,214.75527478999996,45,0.822006344795227,0.2,0.0003,-17.384716945886613,0.025581539,0.29373779296875,440,-0.0487758317256521,4.181422233581543,10.173021452128888,1.0305136442184448
871,540.88,432,376832,240.27821097,46,0.8547078967094421,0.2,0.0003,-17.378390687704087,0.018534273,0.22755126953125,450,-0.04226901976580848,5.989739894866943,15.307881826162339,1.030763864517212
881,566.61,436,385024,256.45052331999995,47,0.7895806431770325,0.2,0.0003,-17.373135578632354,0.023361888,0.269873046875,460,-0.04508450451976387,4.672335624694824,12.387891618907451,1.0296269655227661
891,595.12,440,393216,273.13246818999994,48,0.8600476980209351,0.2,0.0003,-17.376417642831804,0.0201501,0.2480224609375,470,-0.045066616252006496,6.2844977378845215,14.943910059332847,1.030813217163086
901,618.98,445,401408,288.77541406999995,49,0.8651562929153442,0.2,0.0003,-17.38186446428299,0.026841365,0.30150146484375,480,-0.04816725412383675,3.9861364364624023,9.80195211470127,1.0312308073043823
911,664.99,449,409600,317.29690840999996,50,0.8385321497917175,0.2,0.0003,-17.39262118935585,0.022301625,0.27235107421875,490,-0.04293763865134679,3.9171574115753174,9.70782503336668,1.0329192876815796
921,701.43,453,417792,340.90691853,51,0.8158810138702393,0.2,0.0003,-17.416865903139115,0.024551151,0.26875,500,-0.041057970198016845,4.598891735076904,9.8528412848711,1.033734679222107
